,f1,f2,f3,f4,f5,f6,f7,f8
1,numberOfBorrowers,postalCode,interestRateOriginal,interestRateCurrent,currentLoanDelinquencyStatus,CLTVoriginal,UPBactual,creditScore
2,numberOfBorrowers,postalCode,interestRateOriginal,interestRateCurrent,currentLoanDelinquencyStatus,CLTVoriginal,UPBoriginal,creditScore
3,numberOfBorrowers,interestRateOriginal,interestRateCurrent,currentLoanDelinquencyStatus,CLTVoriginal,UPBactual,propertyState,creditScore
4,numberOfBorrowers,interestRateOriginal,interestRateCurrent,currentLoanDelinquencyStatus,CLTVoriginal,UPBoriginal,propertyState,creditScore
5,numberOfBorrowers,UPBoriginal,interestRateOriginal,interestRateCurrent,currentLoanDelinquencyStatus,CLTVoriginal,UPBactual,creditScore
6,postalCode,interestRateOriginal,interestRateCurrent,currentLoanDelinquencyStatus,CLTVoriginal,UPBactual,propertyState,creditScore
7,postalCode,interestRateOriginal,interestRateCurrent,currentLoanDelinquencyStatus,CLTVoriginal,UPBoriginal,propertyState,creditScore
8,UPBoriginal,interestRateOriginal,postalCode,interestRateCurrent,currentLoanDelinquencyStatus,CLTVoriginal,UPBactual,creditScore
9,UPBoriginal,interestRateOriginal,interestRateCurrent,currentLoanDelinquencyStatus,CLTVoriginal,UPBactual,propertyState,creditScore
10,numberOfBorrowers,postalCode,interestRateCurrent,currentLoanDelinquencyStatus,CLTVoriginal,UPBactual,propertyState,creditScore
11,numberOfBorrowers,postalCode,interestRateCurrent,currentLoanDelinquencyStatus,CLTVoriginal,UPBoriginal,propertyState,creditScore
12,numberOfBorrowers,UPBoriginal,postalCode,interestRateCurrent,currentLoanDelinquencyStatus,CLTVoriginal,UPBactual,creditScore
13,numberOfBorrowers,UPBoriginal,interestRateCurrent,currentLoanDelinquencyStatus,CLTVoriginal,UPBactual,propertyState,creditScore
14,UPBoriginal,postalCode,interestRateCurrent,currentLoanDelinquencyStatus,CLTVoriginal,UPBactual,propertyState,creditScore
15,numberOfBorrowers,postalCode,interestRateOriginal,currentLoanDelinquencyStatus,CLTVoriginal,UPBactual,propertyState,creditScore
16,numberOfBorrowers,postalCode,interestRateOriginal,currentLoanDelinquencyStatus,CLTVoriginal,UPBoriginal,propertyState,creditScore
17,numberOfBorrowers,UPBoriginal,interestRateOriginal,postalCode,currentLoanDelinquencyStatus,CLTVoriginal,UPBactual,creditScore
18,numberOfBorrowers,UPBoriginal,interestRateOriginal,currentLoanDelinquencyStatus,CLTVoriginal,UPBactual,propertyState,creditScore
19,UPBoriginal,interestRateOriginal,postalCode,currentLoanDelinquencyStatus,CLTVoriginal,UPBactual,propertyState,creditScore
20,numberOfBorrowers,UPBoriginal,postalCode,currentLoanDelinquencyStatus,CLTVoriginal,UPBactual,propertyState,creditScore
21,numberOfBorrowers,postalCode,interestRateOriginal,numberOfUnits,DebtToIncomeRatioOriginal,CLTVoriginal,UPBoriginal,creditScore
22,numberOfBorrowers,interestRateOriginal,numberOfUnits,DebtToIncomeRatioOriginal,CLTVoriginal,UPBoriginal,propertyState,creditScore
23,numberOfBorrowers,postalCode,interestRateOriginal,DebtToIncomeRatioOriginal,CLTVoriginal,UPBoriginal,propertyState,creditScore
24,postalCode,interestRateOriginal,numberOfUnits,DebtToIncomeRatioOriginal,CLTVoriginal,UPBoriginal,propertyState,creditScore
25,numberOfBorrowers,postalCode,numberOfUnits,DebtToIncomeRatioOriginal,CLTVoriginal,UPBoriginal,propertyState,creditScore
